Nr,Amt,Bemerkungen
1033,"Kammerkupferstecher",
1036,"Benefiziat im Belvedere",
1037,"Zimmerwärter im Augarten",
1041,"Oberststallmeister Vize",
1042,"Adel. Arcieren Gardefourier",
1043,"Adel. Arcieren Gardeprofos",
1044,"Adel. Arcieren Hausinspektor",
1048,"Hofmodeleur und Statuarius",
1049,"Vorsteher der Hofsängerknaben",
1050,"Musiker Substitut",
1052,"Major",
1053,"djh Schreibmeister",
1054,"Flügeladjutant",
1055,"Sekretär",
1057,"Stallmeister",
1060,"Kapelldiener Junge in Hetzendorf",
1061,"Kapelldiener Junge in Schönbrunn",
1062,"Kapelldiener Junge in Laxenburg",
1063,"Instrumentenmacher",
1064,"Oberster Hof- und Landjägermeister Vize",
1065,"Forstmeister in Laxenburg",
1066,"Empfänger im Holzverschleißamt",
1068,"Custos der Mineralien",
1069,"Custos im physischen Fach",
1071,"Hoffutteramtsakzessist",
1072,"Kammerbüchsenspanner",
1073,"Hofintendant",
1074,"Kassier",
1075,"Tafeldecker Gehilfe",
1076,"Kellermeister",
223,"Falknerei Amtssekretär",
1077,"Holzaufseher",
1078,"Wäscheaufseherin",
1079,"Portier",
1080,"Oberster Hofstäbelmeister Vize",
1082,"kontrollierender Bauaufseher in Laxenburg",
1083,"Palastdame",
1084,"Saalkammerdiener",
1085,"Offizial in der Kanzlei",
1086,"Amtsheizer im KZA",
1087,"Amtsdiener in der Hofbuchhalterei",
1088,"Hofmaler",
1089,"Statuarius",
1090,"Hofküchenkassendiener",
1091,"Tafelwäschemeisterin",
1092,"Tafelwäschemeisterin Gehilfin",
1093,"Hofleinenwäschemeisterin",
1095,"Adel. Arcieren Premier L.",
1096,"Adel. Arcieren Zweiter Premier L.",
1099,"Capitaine der Hofburgwache",
1100,"Fourier der Hofburgwache",
1101,"Hauptmann der Hofburgwache",
1102,"Oberlieutnant der Hofburgwache",
1103,"Unterlieutnant der Hofburgwache",
1104,"Forst- und Oberwaldmeister",
1105,"Landgerichtsdiener",
1106,"Hofgärtner",
1107,"Fasanjäger in Schönbrunn",
1108,"Hofuhrrichter",
1110,"Liquidator",
1112,"Familiengüterkassenkontrollor",
1113,"Konzipist für die Familiengüter",
1114,"Kabinettsbildhauer",
1115,"Kammersänger",
1116,"Hoffourier Ansager",
1118,"Ratsfrau",
1119,"Ratswitwe",
1120,"Kammerherrenfrau",
1121,"Kammerherrenwitwe",
1124,"Churschmied",
1125,"Sonntagsprediger",
1126,"Feiertagsprediger",
1127,"Pfarrvikar",
1130,"Bruckmeister",
1131,"Wasserbauübergeher",
1133,"Hofbrunnenmeister",
1134,"Hofmaurerpollier",
1135,"Hofbruckpollier",
1136,"Bruckmaterialienverwalter",
1137,"Hofzimmerpollier",
1139,"Hausmeister im alten Kameralhaus",
1140,"Statueninspektor",
1141,"Feuerinspektor Redoutensäle",
1142,"Hofgärtner Geselle",
1143,"Maschinist",
1144,"Reparationsschlosser",
1145,"Reparationsglaser",
1146,"Wassermaschinenpollier Schönbrunn",
1147,"Hofmaurermeister",
1148,"Hofsteinmetzmeister",
1150,"Portier im Salesianerhaus",
1153,"Reparationstischler",
1157,"Hofuntergärtner",
1159,"Pferdeknecht",
1160,"Gartenaufseher",
1162,"Maschinist Gehilfe",
1164,"Hofbrunnenpollier",
1166,"Feueraufseher",
1167,"Hofbindermeister",
1168,"Kaplan der Hofburgwache",
1169,"Auditor der Hofburgwache",
1170,"Rechnungsführer der Hofburgwache",
1171,"Forstamtsaktuar",
1172,"Zweite Aya",
1173,"Schatzmeister Gehilfe",
1174,"Schlossinspektor in Ofen",
1175,"Zweiter Obersthofmarschall",
1176,"Zimmerwärter im Kaisergarten",
